policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
fp8-mx,1,446,true,9.358153,2.494643,0.96823135,0.886630,2.346090e-01,13.9
fp8-mx-headroom,1,700,false,2.640429,2.338196,0.99207114,0.991819,1.237674e-01,21.4
fp8-mx,2,453,true,9.303883,2.514647,0.96943655,0.894447,2.228189e-01,14.0
fp8-mx-headroom,2,700,false,2.351536,2.330743,0.99307746,0.990455,1.171129e-01,21.4
fp8-mx,3,497,true,11.851576,2.530745,0.97238791,0.895861,2.088415e-01,15.3
fp8-mx-headroom,3,700,false,2.210231,2.337207,0.99430346,0.993886,1.065210e-01,21.4
