policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
mxfp4,1,2000,false,1.641877,2.039307,0.91302112,0.708171,4.321872e-01,246.1
mxfp4-sr-bwd,1,2000,false,2.054850,2.411686,0.79557002,0.498053,6.251033e-01,244.9
mxfp4,2,2000,false,2.341342,2.023626,0.91780370,0.721198,4.214884e-01,246.6
mxfp4-sr-bwd,2,2000,false,2.550245,2.352902,0.80407904,0.526359,6.148297e-01,256.8
mxfp4,3,2000,false,1.917793,2.069783,0.90672257,0.712842,4.409827e-01,253.4
mxfp4-sr-bwd,3,2000,false,2.327736,2.556755,0.80223664,0.538815,6.129388e-01,253.4
