policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
mxfp4-sr-fwd,1,2000,false,1.693857,2.043783,0.88367075,0.705217,4.787481e-01,100.9
mxfp4-sr-bwd,1,2000,false,2.054850,2.411686,0.79557002,0.498053,6.251033e-01,99.7
mxfp4-sr-fwd,2,2000,false,2.373829,2.048494,0.89345349,0.713508,4.615552e-01,101.0
mxfp4-sr-bwd,2,2000,false,2.550245,2.352902,0.80407904,0.526359,6.148297e-01,99.4
mxfp4-sr-fwd,3,2000,false,1.975822,2.040828,0.88402325,0.706301,4.768224e-01,100.3
mxfp4-sr-bwd,3,2000,false,2.327736,2.556755,0.80223664,0.538815,6.129388e-01,100.4
